"Something went wrong while generating the coupon code, please try again.","Niečo pokazilo pri generovaní kodu, skúste to znova."
Schedule has been deleted successfully,Plán bol úspešne odstránený
Invalid Data.,Neplatné údaje.
Add/Edit Schedule,Pridať / Upraviť plán
Schedule has been saved successfully.,Plán bol úspešne uložený.
Email has been sent successfully.,E-mail bol úspešne odoslaný.
"Something went wrong while sending the coupon email, please try again.","Niečo pokazilo pri odosielaní e-mailu kupónu, skúste to znova."
Spin and Win,Spin a Win
Knowband,Knowband
Settings saved successfully.,Nastavenie úspešne uložené.
New Customer,Nový zákazník
No list found. (Verify Credentials),"Žiadny zoznam nájdený. (Skontrolujte, či poverenie)"
The Private Klaviyo API Key you have set is invalid.,Private Klaviyo API Key máte set je neplatná.
The Private Klaviyo API key you have set is no longer valid.,API kľúč Private Klaviyo máte súbor už nie je platný.
Unable to verify Klaviyo Private API Key.,Nemožno overiť Klaviyo Súkromná API kľúč.
Mobile,Mobilné
Tablet,tableta
Desktop,Desktop
You have already taken advantage of this offer. Please try another email.,Ste už využilo tejto ponuky. Skúste iný e-mail.
Not your lucky day today. Better Luck Next Time.,Nie je to tvoja dnes šťastný deň. Nabudúce viac šťastia.
Error occurred while subscribing. Please try again later.,zatiaľ čo predplatenia došlo k chybe. Skúste neskôr prosím.
Jan,január
Feb,februára
Mar,Mar
Apr,apríla
May,Smieť
Jun,júna
Jul,júla
Aug,auguste
Sep,septembra
Oct,október
Nov,november
Dec,decembra
None,nikto
Rose Day,Rose Day
Propose Day,navrhovať deň
Chocolate Day,Chocolate Day
Teddy Day,Teddy Day
Promise Day,Promise Day
Hug Day,Deň objímania
Kiss Day,kiss deň
Valentine\'s Day,Valentín
Xmas Theme 1,Xmas Theme 1
Xmas Theme 2,Xmas Theme 2
Merry Christmas - Theme 1,Merry Christmas - Téma 1
Merry Christmas - Theme 2,Merry Christmas - Téma 2
Merry Christmas - Theme 3,Merry Christmas - téma 3
Merry Christmas - Theme 4,Merry Christmas - téma 4
Merry Christmas - Theme 5,Merry Christmas - téma 5
Black Friday Theme1,Čierny piatok Theme1
Black Friday Theme2,Čierny piatok Theme2
Black Friday Theme3,Čierny piatok Theme3
Black Friday Theme4,Čierny piatok Theme4
Diwali Theme1,Diwali Theme1
Diwali Theme2,Diwali Theme2
Diwali Theme3,Diwali Theme3
Diwali Theme4,Diwali Theme4
Diwali Theme5,Diwali Theme5
Easter Theme1,Easter Theme1
Easter Theme2,Easter Theme2
Easter Theme3,Easter Theme3
Halloween Theme1,Halloween Theme1
Halloween Theme2,Halloween Theme2
Halloween Theme3,Halloween Theme3
Halloween Theme4,Halloween Theme4
Thanks Giving Theme1,Vďaka Dať Theme1
Happy New Year Theme1,Šťastný Nový Rok Theme1
Happy New Year Theme2,Šťastný Nový Rok Theme2
Happy New Year Theme3,Šťastný Nový Rok Theme3
Happy New Year Theme4,Šťastný Nový Rok Theme4
Happy New Year Theme5,Šťastný Nový Rok Theme5
Happy New Year Theme6,Šťastný Nový Rok Theme6
Happy New Year Theme7,Šťastný Nový Rok Theme7
Wheel Design 1,Kolo dizajn 1
Wheel Design 2,Kolo dizajn 2
Look and Feel,Pozri a cíť
General Settings,Všeobecné nastavenia
Display Settings,nastavenie zobrazenia
Theme Scheduling,téma Scheduling
Text Settings,nastavenia textových
Special bonus unlocked,Špeciálny bonus odomkol
You have a chance to win a nice big fat discount. Are you ready?,Máte šancu vyhrať pekný veľký tučný zľavu. Si pripravený?
"You can spin the wheel only once. If you win, you can claim your coupon for 1 day only!","Môžete točiť volantom iba raz. Ak vyhráte, môžete nárokovať kupón len 1 deň!"
Email Settings,Nastavenie e-mailu
Only on wheel,Iba na bicykli
Email Only,email iba
Email & Wheel,Email & Wheel
Fire,požiarne
Aqua,Aqua
Wind,vietor
Void,prázdno
Earth,Krajina
Return Statuses,spiatočný Stavy
Coupon Code,kód kupónu
Customer Email,zákazník Email
Country,Krajina
Device,Zariadenie
Coupon Used,kupón Použité
No,žiadny
Yes,Áno
Coupon Generated On,Kupón Generated On
Statistics,štatistika
Email Marketing,email Marketing
User List,zoznam užívateľov
Status,Postavenie
Enabled,povolené
Disabled,invalidný
From Date,Od dátumu
To Date,Randiť
Action,akčné
Slice Settings,nastavenie plátok
10% OFF,10% OFF
Not Lucky Today,Nie je Lucky Dnes
35% OFF,35% OFF
Opps! Sorry,OPPS! Prepáč
15% OFF,15% OFF
Better Luck Next Time,Nabudúce viac šťastia
50% OFF,ZLAVA 50
Try Next Time,Skúste nabudúce
12% OFF,12% OFF
Come Again,Príď znova
5% OFF,5% ZĽAVA
Try Again,Try Again
First Name,Krstné meno
Last Name,Priezvisko
Email,e-mail
Created Date,Dátum vytvorenia
CSV,CSV
Edit,editovať
Delete,delete
Save Schedule,Save Schedule
Back,späť
Save Settings,Uložiť nastavenia
Email cannot be left blank,E-mail nemôže byť prázdne
Not a valid email,Nie je platný e-mail
a discount,zľava
Code copied.,Kód kopírovať.
First name cannot be left blank,Krstné meno nemôže byť prázdne
Last name cannot be left blank,Posledné meno nemôže byť prázdne
Hurrah! You've got,Hurá! Máte
 discount. Lucky day!,zľava. Šťastný deň!
The coupon code has been sent to you through the email.,Kupon kód bol zaslaný prostredníctvom e-mailu.
Better luck next time!,Nabudúce viac šťastia!
Don't forget to use the discount code at checkout!,Nezabudnite použiť zľavový kód pri pokladni!
Enter you email,Zadajte e-maily
Try your luck,Skús svoje šťastie
Next Time,Nabudúce
"No, I do not feel lucky","Nie, nemám pocit šťastia"
Continue,ďalej
Enable Theme Scheduling,Aktivovať Theme Plánovanie
Add New Schedule,Pridať nový plán
Select number of slices,Vyberte počet plátkov
12 Slices,12 Plátky
8 Slices,8 plátkov
6 Slices,6 plátkov
Select the number of slices to show.,Vyberte počet plátkov ukázať.
Slice Label,plátok Label
Coupon Type,kupón Type
Coupon Value,hodnota kupónu
Gravity (%),Gravitácia (%)
Fixed,fixné
Percentage,percento
Free Shipping,Doprava zdarma
Theme,téma
Theme Peview,téma Peview
Wheel Design,kolo dizajn
Wheel Peview,kolo Peview
Wheel Color,kolo Color
Change color of the wheel.,Zmena farby kolesá.
Wheel Text Color,Wheel Farba textu
Change text color of the wheel.,Zmena farby textu kola.
Wheel Background Color,Wheel Farba pozadia
Change background color of wheel.,Zmena farby pozadia kola.
Font Color,Farba písma
Change font color of text on wheel.,Zmeniť farbu písma textu na bicykli.
Button Background Color,Tlačidlo Farba pozadia
Change background color of spin button.,Zmeniť farbu pozadia tlačidla odstreďovania.
`Try your luck` Button Text Color,`Skúste luck` tlačidlo Farba textu
Change font color of the front `Try your luck` button.,Zmena farby písma na prednej `Skúste tlačidlo luck`.
"No, I do not feel lucky text color","Nie, nemám pocit šťastia farbu textu"
"Change font color of No, I do not feel lucky text.","Zmeniť farbu písma Nie, nemám pocit šťastia text."
Schedule Status,plán Status
Select Date,vybrať dátum
Field cannot be empty.,Pole nemôže byť prázdne.
You can enter only numbers.,Môžete zadať iba čísla.
Number should be greater than 0.,Číslo by malo byť väčšie ako 0.
Field cannot be greater than {#} characters.,Pole nemôže byť väčšia ako {#} znakov.
Field cannot be less than {#} character(s).,Pole nemôže byť menšia ako {#} znak (y).
Please enter Email.,Zadajte prosím e-mail.
Please enter a valid Email.,Prosím zadajte platný e-mail.
Invalid date format.,Neplatný formát dátumu.
Number is not in the valid range. It should be between {1} and {100},Číslo nie je v platnom rozsahu. To by malo byť v rozmedzí od {1} a {100}
Field should be numeric.,Pole by malo byť číslo.
Field can have only upto two decimal values.,Pole môže mať iba aľ dve desatinné čísla.
Email cannot be greater than {#} characters.,E-mail nemôže byť väčšia ako {#} znakov.
Zip should not have special characters.,Zips by nemala mať špeciálne znaky.
Percentage should be in number.,Percento by malo byť v rade.
Percentage should be between 0 and 100.,Percento by mala byť medzi 0 a 100.
Size cannot be greater than {#} characters.,Veľkosť nemôže byť väčšia ako {#} znakov.
Color could not be greater than {#} characters.,Farba by nemala byť väčšia ako {#} znakov.
Color is not valid.,Farba nie je platný.
Special characters are not allowed.,Špeciálne znaky nie sú povolené.
Script tags are not allowed.,Script tagy nie sú povolené.
Style tags are not allowed.,Štýl značky nie sú povolené.
Iframe tags are not allowed.,Značky iframe nie sú povolené.
Uploaded file is not an image.,Nahraný súbor nie je obrázok.
Uploaded file size must be less than #d.,Nahraný veľkosť súboru musí byť menšia ako # d.
Field should not contain HTML tags.,Pole nesmie obsahovať HTML tagy.
You can enter only positive numbers.,Môžete zadať iba kladné čísla.
`From Date` should be smaller than `To Date`,`Z Date` by mala byť menšia než` To Date`
`From Date` already present in a slot.,`Z Date` už v drážke.
`To Date` already present in a slot.,`Pre Date` ktorá sa v jednom slote.
Coupon Display Options,Kupón Možnosti zobrazenia
Email Subject,Predmet emailu
Email Template,Šablóna e-mailu
Email Content,email Content
Test Email,test Email
Send Email,Poslať email
Enable the Extension,povoliť rozšírenie
Show pull-out tab,kartu vysúvací
Allow customer to hide/show popup,Umožňujú zákazníkovi sa skryť / zobraziť vyskakovacie okno
Upload pull-out tab image,Nahrať pull-out tab image
Only .png or .jpg file format accepted. File size should not be more than 2 MB.,Iba .png alebo formát JPG súboru prijatý. Veľkosť súboru by nemala byť väčšia ako 2 MB.
Display Logo,displej Logo
Upload Logo,Nahrať Logo
Remove logo,Odobrať logo
Email Recheck,E-mail prekontrolovanie
Allow customer to provide coupon code more than one time.,Umožňujú zákazníkom poskytovať kodu viac ako raz.
Enable Wheel Sound,Aktivovať kolesá Zvuk
Allow sound on rotating the wheel.,Povoliť zvuk pri otáčaní kolesa.
Show Fireworks,Zobraziť Fireworks
Show fireworks after a customer wins.,"Ukazujú ohňostroj potom, čo zákazník vyhrá."
Show Customer Name,Show Customer Name
Show First Name,Show First Name
Show Last Name,ukázať priezvisko
Show Both,oba ukazujú
Show None,show Žiadne
Show customer name on the front end,Zobrazovať meno zákazníka na prednom konci
Require Customer Name,Vyžadujú meno zákazníka
Require First Name,Vyžadujú krstné meno
Require Last Name,vyžadujú priezvisko
Require Both,vyžadujú Obe
Require None,vyžadujú Žiadne
Require customer name on the front end,Vyžadujú meno zákazníka na prednom konci
Wheel Display Interval,Koliesko Display Interval
Days,Dni
Enter the display interval (in days) after which pop will show again (if not used).,"Zadajte interval zobrazenia (v dňoch), po ktorom pop ukáže znova (pokiaľ nie je použitý)."
Show Progress Meter,Show Progress Meter
Progress Percentage,progress Percentuálne
Enter the percentage of the progress meter.,Zadajte percento elektromeru pokroku.
Progress Text,Text Progress
Enter the Text for the progress meter.,Zadajte text pre indikátor priebehu.
Custom CSS,Custom CSS
Add custom CSS code that you want to be executed on the front end,"Pridať vlastný CSS kód, ktorý chcete byť vykonaný na prednom konci"
Custom JS,Custom JS
Add custom JS code that you want to be executed on the front end,"Pridať vlastný JS kód, ktorý chcete byť vykonaný na prednom konci"
Enable Mailchimp,aktivovať MailChimp
Mailchimp Api Key,MailChimp Api Key
Mailchimp List,MailChimp Zoznam
Select List,select Zoznam
Enable Klaviyo,aktivovať Klaviyo
Klaviyo Api Key,Klaviyo Api Key
Klaviyo List,Klaviyo Zoznam
Enable Constant Contact,Aktivovať neustálom kontakte
Constant Contact Api Key,Neustálom kontakte Api Key
Constant Contact Api Token,Neustálom kontakte Api Token
Constant Contact List,Constant Zoznam kontaktov
Please select atleast one page,Prosím vyberte aspon jednu stránku
Please select atleast one country,Prosím vyberte aspon jednej krajine
Field cannot be empty,Pole nemôže byť prázdne
Total Coupons Generated,Celkom kupóny Vygenerovaný
Total Coupons Unused,Celkom kupóny Nevyužitá
Total Coupons Used,Celkom kupóny Použité
`Active Date` cannot be greater than `Inactive Date`,`Active Date` nemôže byť väčšia než` neaktívne Date`
`From` Date cannot be greater than `To` Date,`From` Dátum nemôže byť väčšia než` To` Dátum
Date & Time should be greater than current date time.,Dátum a čas musí byť väčší ako aktuálny dátum a čas.
Total Generated,celkový generovaný
Till,do
Total Used,celková Použité
Total Unused,celková Nevyužitá
Coupon Statistics (Graphical),Kupón Statistics (Graphical)
Select date,vyberte dátum
Generate,generovať
Other Statistics,Ostatné Statistics
Country Statistics,Krajina Štatistika
Device Statistics,štatistiky zariadenie
Coupons List,zoznam kupóny
Minimum Screen Size,Minimálna veľkosť obrazovky
Smartphone (320x480),Smartphone (320x480)
Tablet Portrait(768x1024),Tablet Portrait (768x1024)
Tablet Landscape (1024x768),Tablet šírku (1024x768)
Laptop (1366x768),Laptop (1366x768)
Desktop(1600x1080),Desktop (1600x1080)
Smartphones only,len smartphony
Maximum Display Frequency,Maximálna frekvencia displeja
Every Visit,každej návšteve
One Visit per hour,Jedna návšteva za hodinu
One visit per day,Jedna návšteva za deň
One visit per week,Jedna návšteva za týždeň
One visit per month,Jedna návšteva za mesiac
Show Spin Wheel on the front end after the specified time,Show Spin kolesá na prednej strane po stanovenú dobu
Hide Spin Wheel After,Hide Spin Wheel Po
Always Display,Always Display
10 Seconds,10 Seconds
20 Seconds,20 Seconds
30 Seconds,30 Seconds
40 Seconds,40 Seconds
Choose the time interval after which the Spin Wheel on the front end will hide automatically,"Zvoľte časový interval, po ktorom sa Spin kolesá na prednej strane bude automaticky skrývať"
Set Fix Time,Set Fix Time
Active Date/Time,Aktívne Date / Time
Expire Date/Time,Vyprší dátum / čas
Whom to show,koho prehliadky
All Visitors,všetci návštevníci
New Visitors,noví návštevníci
Returning Visitors,vracajúci sa návštevníci
Select whom to show the popup.,"Vybrať, na koho sa zobrazí vyskakovacie okno."
When to Show,kedy Zobraziť
Immediately,bezodkladne
After Time(seconds),Po určitej dobe (v sekundách)
When scroll down(%),Keď sa posunúť nadol (%)
When Exit,keď Exit
Select when to display the popup.,"Vyberte, kedy sa zobrazí vyskakovacie okno."
Enter time (In Seconds),Zadajte čas (v sekundách)
Enter time in seconds after which you want to display spin wheel pop up.,"Zadajte čas v sekundách, po ktorej chcete zobraziť spin kolesá vyskočí."
Enter Scroll Percentage,Vstúpiť Scroll Percento
Enter scroll percentage after which you want to display spin wheel pop up. Do no enter % sign.,"Zadávať navigačné percenta, po ktorej chcete zobraziť spin kolesá vyskočí. Ešte nie zadať znak%."
Geo Location,Geografické umiestnenie
World Wide,World Wide
Display selected areas only,Iba zobrazenie zvolených plochách
Do not display selected areas,Nezobrazujú vybraných oblastí
Select Geo Location where you want to show the popup.,"Zvoliť informácie o polohe, kde chcete zobrazovať kontextové okno."
Select countries.,Vybraných krajinách.
Title Text,Názov Text
Subtitle Text,Text Subtitle
Rules Text,pravidlá Text
One rule should be entered in one line in order to show it on pop up point wise.,Jedno pravidlo by mali byť uvedené v jednej línii za účelom jeho zobrazenie na pop-up bod múdre.
Are your sure?,Sú vaše istý?
Please enter a valid color code,Zadajte platný kód farby
`Active Date` cannot be greater than `Expire Date`,`Active Date` nemôže byť väčšia než` vyprší Date`
The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is: ,Súčet gravitácie nie je v platnom rozsahu. Malo by byť betwen 1 a 100. Celková je:
No list exists for this API key.,Žiadny zoznam neexistuje pre tento kľúč API.
No. of times,počet čias
Date,Dátum
Please upload an image file.,Nahrajte prosím súbor s obrázkom.
Note: select time in GMT only.,Poznámka: select čas len v GMT.
This slot is already available.,Tento slot je už k dispozícii.
